Male predictors:
word : coef : odds_ratio
trabajar : 1.492101277719481 : 4.446428891526632
res : 1.1495416584557352 : 3.1567457103555783
prision : 1.146095173240162 : 3.145884759739142
ir : 1.0956271566868132 : 2.9910579572851743
respuesta : 1.0380154457399715 : 2.8236078473622594
Enhorabuena : 0.9428153069112205 : 2.567198706382368
culpa : 0.92693632495005 : 2.526756147533162
etc : 0.8922616441634187 : 2.4406432806364977
saben : 0.8818927155538011 : 2.4154671748859755
derecho : 0.8249592035099335 : 2.2817876745022305
nombre : 0.7698644118227956 : 2.159473434867217
😂 : 0.7234201021046839 : 2.061471611155007
cada : 0.7196038914436663 : 2.053619593221785
año : 0.7032055479151311 : 2.020218245523105
persona : 0.6549324027931672 : 1.92501238751769
ara : 0.6526794213076128 : 1.9206802521919568
libertad : 0.6381238551225598 : 1.8929261420618138
futuro : 0.62268375918264 : 1.8639236575648566
derecha : 0.6108975691695661 : 1.8420840548394954
gran : 0.5977768187042625 : 1.8180723995628096
cárcel : 0.5884274395976804 : 1.8011537640639417
hoy : 0.5563681154367622 : 1.744325792099153
bé : 0.5533789575485454 : 1.739119511971273
derechos : 0.54070555993228 : 1.7172180350976278
España : 0.5350336804570371 : 1.7075057508598306
tiempo : 0.5285134553209521 : 1.6964086460684145
sueldo : 0.5262739140419104 : 1.692613719912445
d : 0.5149268178469234 : 1.673516025810079
usted : 0.5133289397245852 : 1.670844086450281
Ahora : 0.4880800930763684 : 1.6291853312123337
fet : 0.47789105567757756 : 1.612669782596239
parece : 0.4479229959290433 : 1.5650581751625254
Pues : 0.44589444944276785 : 1.5618865998320652
siendo : 0.4445933070165406 : 1.5598556844536728
corrupción : 0.4403442374770357 : 1.5532418105348371
momento : 0.4401691812143247 : 1.5529699296263206
programa : 0.43657036754262507 : 1.5473911247725702
ho : 0.43297473185958374 : 1.5418372608480069
tener : 0.4116277857150476 : 1.5092725589595088
hacen : 0.4097673569596395 : 1.5064672752154806
Per : 0.40713331989001644 : 1.5025044060318036
l : 0.38233514364239746 : 1.465703223944484
abrazo : 0.38221874644980414 : 1.465532630132555
seguir : 0.3579765241076644 : 1.4304320394171761
dignitat : 0.35694296692550775 : 1.428954369868779
uns : 0.3546659802161505 : 1.425704361277678
vergüenza : 0.3541564710950743 : 1.424978136926325
sólo : 0.34671846153103275 : 1.4144184561023894
llegar : 0.3405118867808893 : 1.4056669487623141
! : 0.336548588124528 : 1.4001068961854313
serio : 0.33197581815844324 : 1.3937191454094677
👏 : 0.3056615136714746 : 1.3575227258880198
_url : 0.29862347185130284 : 1.3480019672203163
familias : 0.2968323011813452 : 1.3455896267353051
bueno : 0.29575846899507596 : 1.3441454648171556
mejor : 0.29197190929428873 : 1.3390654018188382
q : 0.2915877443854002 : 1.338551078679529
com : 0.28739428797531386 : 1.3329496759060178
cosas : 0.2765867726784637 : 1.3186213680616101
familia : 0.27376423744231604 : 1.3149047603826114
hablar : 0.27339255253923606 : 1.314416120949765
tots : 0.25214268180328897 : 1.286779624224491
però : 0.2521282447693388 : 1.2867610470774697
sigue : 0.24449285414794678 : 1.276973537127759
¿ : 0.23416655904599712 : 1.2638549811578121
