ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;Partido gobierno autonomico;gobierno_auto;gobierno_central;
EXT;1;Muñoz Marcos, María de los Ángeles ;Popular ;PP; BADAJOZ;IX;;;;MangelesMarian;;PSOE-SIEX;0;1;
EXT;0;Pacheco Delgado, Hipólito ;Popular ;PP; BADAJOZ;IX;;;;PPoliPacheco;;PSOE-SIEX;0;1;
EXT;1;Paredes Menea, Catalina ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;catyparedes;;PSOE-SIEX;1;0;
EXT;0;Parejo Fernández, Juan ;Popular ;PP; BADAJOZ;IX;;;;JuanParejoFdez;;PSOE-SIEX;0;1;
EXT;1;Pérez García, María del Pilar ;Popular ;PP; CÁCERES;IX;;;;;;PSOE-SIEX;0;1;
EXT;1;Pérez López, Eva María ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;Perezlopez_Eva;;PSOE-SIEX;1;0;
EXT;1;Pérez Zamora, Eva ;Popular ;PP; BADAJOZ;IX;;;;evaperezamora;;PSOE-SIEX;0;1;
EXT;0;Ramírez González, Francisco José ;Popular ;PP; CÁCERES;IX;Portavoz Adjunto ;;;pacoramirez79;;PSOE-SIEX;0;1;
EXT;0;Redondo Milara, Felipe ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;feliperedondom2;;PSOE-SIEX;1;0;
EXT;0;Risquete Luengo, Francisco Javier ;Popular ;PP; BADAJOZ;IX;;;;PacoRisquete;;PSOE-SIEX;0;1;
EXT;1;Rodríguez Píriz, Consuelo de Fátima ;Popular ;PP; BADAJOZ;IX;;;;ConsueloTikirp;;PSOE-SIEX;0;1;
EXT;0;Romero Berro, Jara ;PODEMOS Extremadura;PODEMOS; BADAJOZ;IX;;;;Sonnenroschen;;PSOE-SIEX;0;0;
EXT;0;Romero Borrallo, Eugenio ;PODEMOS Extremadura;PODEMOS; BADAJOZ;IX;Secretario primero;;;eugenioromerob;;PSOE-SIEX;0;0;
EXT;1;Rosa Romero, Francisca ;Popular ;PP; BADAJOZ;IX;Secretaria segunda;;;F_RosaR;;PSOE-SIEX;0;1;
EXT;1;Rubio Díaz, María Inés ;Popular ;PP; CÁCERES;IX;;;;;;PSOE-SIEX;0;1;
EXT;0;Sánchez Álvarez, Luis Francisco ;Popular ;PP; BADAJOZ;IX;Portavoz PP Badajoz;;;luisfr_sanchez;;PSOE-SIEX;0;1;
EXT;0;Sánchez Juliá, José Ángel ;Popular ;PP; CÁCERES;IX;Vicesecretario GP;;;JoseAngel_SJ;;PSOE-SIEX;0;1;
EXT;0;Santos Pascua, Obed Arnaldo ;PODEMOS Extremadura;PODEMOS; CÁCERES;IX;;;;Obedarnaldo;;PSOE-SIEX;0;0;
EXT;0;Saponi Cortés, José María ;Popular ;PP; CÁCERES;IX;;;;jmrsaponi;;PSOE-SIEX;0;1;
