"","name","proportion_male"
"298","Amancio",1
"299","Amanda",0.0016
"300","amanda",0.0016
"301","AMANDO",1
"302","Amando",1
"303","Amar",0.9412
"304","Amara",0.0171
"305","Amaria",0.0032
"306","Amaro",1
"307","Amaya",3e-04
"308","Amayra",0
"309","Amazing",0
"310","Ambrosio",1
"311","Amelia",8e-04
"312","amelia",8e-04
"313","Amelie",0
"314","Amer",1
"315","America",0
"316","Americo",1
"317","AMES",1
"318","Ames",1
"319","AMI",0.168
"320","Amilcar",1
"321","AMIN",1
"322","Amir",0.982
"323","Amira",0
"324","Amit",0.8255
"325","Amon",1
"326","Amor",0.2156
"327","amor",0.2156
"328","Amparo",0
"329","amparo",0
"330","AMR",1
"331","Amy",0.0018
"332","an",0.3958
"333","An",0.3958
"334","Ana",0.0022
"335","ana",0.0022
"336","ANA",0.0022
"337","Anabel",0
"338","AnaE",0
"339","Anaida",0
"340","Anais",0.0052
"341","Anakin",1
"342","Analee",0
"343","anali",0
"344","Analia",0
"345","anamaria",0
"346","Ananda",0.0307
"347","ANANDA",0.0307
"348","Anant",1
"349","Anar",1
"350","Anastasia",3e-04
"351","Anastasio",1
"352","AnaVictoria",0
"353","Anayansi",0
"354","Andalucia",0
"355","Ande",0.1214
"356","Ander",1
"357","ANDER",1
"358","Andersen",0.7674
"359","Anderson",0.9585
"360","Andi",0.2421
"361","Andoni",1
"362","andoni",1
"363","ANDONI",1
"364","ANDRA",0.2569
"365","ANDRE",0.9968
"366","andre",0.9968
"367","Andre",0.9968
"368","Andrea",0.0066
"369","andrea",0.0066
"370","Andreas",0.9977
"371","Andrei",1
"372","Andreia",0
"373","Andres",0.9981
"374","andres",0.9981
"375","ANDRES",0.9981
"376","Andreu",1
"377","andreu",1
"378","AndrEu",1
"379","ANDREU",1
"380","Andrew",0.9981
"381","Andrews",1
"382","Andrius",1
"383","Andro",1
"384","Andy",0.9892
"385","Ane",0
"386","ane",0
"387","anel",0.2283
"388","Aneta",0
"389","ANG",1
"390","Ang",1
"391","Angel",0.7848
"392","angel",0.7848
"393","ANGEL",0.7848
"394","Angela",0.0021
"395","ANGELA",0.0021
"396","angela",0.0021
"397","Angeles",0.0252
"398","ANGELES",0.0252
"399","angeles",0.0252
"400","Angelica",9e-04
"401","ANGELINA",0.001
"402","Angelina",0.001
"403","Angelino",1
"404","Angelique",0
"405","Angelita",0
"406","angelita",0
"407","Angelito",1
"408","angella",0
"409","Angelo",0.9977
"410","ANGELO",0.9977
"411","angelo",0.9977
"412","AngeLuis",1
"413","Angeluis",1
"414","Angi",0
"415","Angie",4e-04
"416","ANGIE",4e-04
"417","Angus",1
"418","angus",1
"419","Angy",0
"420","Ani",0.0036
"421","ani",0.0036
"422","Ania",0
"423","Anibal",1
"424","Anica",0
"425","Aniceto",1
"426","Anika",0
"427","Anina",0
"428","Anira",0
"429","Anita",0
"430","anita",0
"431","Anja",0
"432","ann",0.0011
"433","Ann",0.0011
"434","Anna",0.0014
"435","anna",0.0014
"436","ANNA",0.0014
"437","AnnA",0.0014
"438","Annabel",0
"439","Annaly",0
"440","Anne",0
"441","ANNE",0
"442","Annelie",0
"443","Anni",0
"444","Annie",0
"445","Annita",0
"446","Anny",0
"447","Ansel",1
"448","Anselm",1
"449","Anselmo",1
"450","ANSELMO",1
"451","anselmo",1
"452","Anta",0
"453","Ante",1
"454","Anthon",1
"455","Anthony",0.998
"456","Antoine",1
"457","Antolin",1
"458","Anton",1
"459","anton",1
"460","AntoN",1
"461","ANTON",1
"462","Antonella",0
"463","antonella",0
"464","Antonello",1
"465","Antoni",1
"466","ANTONI",1
"467","antoni",1
"468","Antonia",0.0226
"469","antonia",0.0226
"470","ANTONIA",0.0226
"471","Antonie",1
"472","Antonieta",0
"473","Antonino",1
"474","Antonio",0.9978
"475","antonio",0.9978
"476","ANTONIO",0.9978
"477","Antony",1
"478","Antuan",1
"479","antuan",1
"480","Anubis",1
"481","Anuska",0
"482","Any",0
"483","Anye",0
"484","anyela",0
"485","anza",0
"486","Aoife",0
"487","Apache",1
"488","apolo",1
"489","Apolo",1
"490","apolonio",1
"491","Apple",0
"492","Apsara",0
"493","Aquiles",1
"494","AR",1
"495","Ar",1
"496","ARA",0.2445
"497","ara",0.2445
"498","Ara",0.2445
"499","Arabia",0
"500","Araceli",0
"501","araceli",0
"502","Arafat",1
"503","Aragon",1
"504","Aragorn",1
"505","Aram",0.9656
"506","Aramis",0.9734
"507","aran",1
"508","Aran",1
"509","aranda",0
"510","Arantxa",0
"511","arantxa",0
"512","arantza",0
"513","Arantza",0
"514","aranzazu",0
"515","Aranzazu",0
"516","Aras",1
"517","aras",1
"518","Arash",1
"519","Arcadio",1
"520","arcangel",1
"521","Archibald",1
"522","AREG",1
"523","Arena",0
"524","Ares",0.9814
"525","Argel",1
