ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
EXT;1;Rodríguez Píriz, Consuelo de Fátima ;Popular ;PP; BADAJOZ;IX;;;;ConsueloTikirp;;;
EXT;0;Romero Berro, Jara ;PODEMOS Extremadura;PODEMOS; BADAJOZ;IX;;;;Sonnenroschen;;;
EXT;0;Romero Borrallo, Eugenio ;PODEMOS Extremadura;PODEMOS; BADAJOZ;IX;Secretario primero;;;eugenioromerob;;;
EXT;1;Rosa Romero, Francisca ;Popular ;PP; BADAJOZ;IX;Secretaria segunda;;;F_RosaR;;;
EXT;1;Rubio Díaz, María Inés ;Popular ;PP; CÁCERES;IX;;;;;;;
EXT;0;Sánchez Álvarez, Luis Francisco ;Popular ;PP; BADAJOZ;IX;Portavoz PP Badajoz;;;luisfr_sanchez;;;
EXT;0;Sánchez Juliá, José Ángel ;Popular ;PP; CÁCERES;IX;Vicesecretario GP;;;JoseAngel_SJ;;;
EXT;0;Santos Pascua, Obed Arnaldo ;PODEMOS Extremadura;PODEMOS; CÁCERES;IX;;;;Obedarnaldo;;;
EXT;0;Saponi Cortés, José María ;Popular ;PP; CÁCERES;IX;;;;jmrsaponi;;;
EXT;1;Teniente Sánchez, Cristina Elena ;Popular ;PP; CÁCERES;IX;Portavoz;;;;;;
EXT;1;Ugalde Ortíz, María de los Ángeles ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;UgaldeOrtiz;;;
EXT;0;Vázquez Velayos, Hugo ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;HugoVelayos;;;
EXT;0;Vegas Jiménez, Celestino ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;celestinovegasj;;;
AND;1;Alarcón Mañas, María del Rosario;Popular Andaluz;PP;CÓRDOBA;X; ;;;Rampppp;;;
AND;1; Albás Vives, María Isabel;Ciudadanos;CIUDADANOS;CÓRDOBA;X; ;;;isabelalbas;;;
AND;0; Aragón Ariza, Francisco Javier;Socialista;PSOE;GRANADA;X; ;;;JAragonAriza;;;
AND;1; Arrabal Higuera, Rocío;Socialista;PSOE;CÁDIZ;X; ;;;ArrabalRocio;;;
AND;1; Ayala Asensio, Lucía;Podemos Andalucía;PODEMOS;ALMERÍA;X; ;;;Lucia_Andalucia;;;
AND;1; Barranco Rodríguez, Mercedes;Podemos Andalucía;PODEMOS;JAÉN;X; ;;;Mer_barranco;;;
AND;1; Benítez Gálvez, Libertad;Podemos Andalucía;PODEMOS;CÁDIZ;X; ;;;libertadbenitez;;;
AND;1; Bosquet Aznar, Marta;Ciudadanos;CIUDADANOS;ALMERÍA;X;Portavoz Adjunta ;;;martabosquet;;;
