ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
MAD;1;Escudero Díaz-Tejeiro, Marta Mª ;GP Popular;PP;ÚNICA;X;;;;martamescudero;;;
MAD;0;Fermosel Díaz, Jesús ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Fernández-Quejo Del Pozo, José Luis ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;García De Vinuesa Gardoqui, Ignacio ;GP Popular;PP;ÚNICA;X;;;;garciadevinuesa;;;
MAD;1;García Martín, María Begoña ;GP Popular;PP;ÚNICA;X;;;;BegoGMR;;;
MAD;0;Garrido García, Ángel ;GP Popular;PP;ÚNICA;X;;;;angelgarridog;;;
MAD;0;Gómez Ruiz, Jesús ;GP Popular;PP;ÚNICA;X;;;;jesusgomezruiz;;;
MAD;0;Gómez-Angulo Rodríguez, Juan Antonio ;GP Popular;PP;ÚNICA;X;Secretario tercero mesa Asamblea;;;;;;
MAD;1;González González, Isabel Gema;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;González Jiménez, Bartolomé ;GP Popular;PP;ÚNICA;X;;;;bartolomegj;;;
MAD;0;González Taboada, Jaime ;GP Popular;PP;ÚNICA;X;;;;jaimegtaboada;;;
MAD;1;Gonzalo López, Rosalía ;GP Popular;PP;ÚNICA;X;;;;RosaliaGonzalo;;;
MAD;0;Izquierdo Torres, Carlos ;GP Popular;PP;ÚNICA;X;;;;carlosizqtorres;;;
MAD;1;Liébana Montijano, Mª Pilar ;GP Popular;PP;ÚNICA;X;;;;pliebana;;;
MAD;1;Luis Rico, Teresa De Jesús ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;1;Mariño Ortega, Ana Isabel ;GP Popular;PP;ÚNICA;X;Secretaria Primera Mesa Asamblea;;;AnaIsabelMarino;INACTIVO;;
MAD;1;Moldovan Feier, Anca Teodora ;GP Popular;PP;ÚNICA;X;;;;moldovan_anka;;;
MAD;0;Moraga Valiente, Álvaro ;GP Popular;PP;ÚNICA;X;;;;alvaromoraga;;;
MAD;0;Muñoz Abrines, Pedro;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Oficialdegui Alonso De Celada, Eduardo ;GP Popular;PP;ÚNICA;X;;;;eoficialdegui;;;
MAD;0;Olmo Flórez, Luis Del ;GP Popular;PP;ÚNICA;X;;;;zarzaymenta;;;
MAD;1;Ongil Cores, Mª Gador ;GP Popular;PP;ÚNICA;X;;;;gadorongil;INACTIVO;;
MAD;0;Ossorio Crespo, Enrique Matías ;GP Popular;PP;ÚNICA;X;;;;eossoriocrespo;;;
MAD;1;Pérez Baos, Ana Isabel ;GP Popular;PP;ÚNICA;X;;;;Anai_pb;;;
MAD;0;Pérez García, David ;GP Popular;PP;ÚNICA;X;;;;davidperez;;;
MAD;1;Plañiol Lacalle, Regina Mª ;GP Popular;PP;ÚNICA;X;;;;reginaplaniol;;;
MAD;0;Raboso García-Baquero, Eduardo ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Ramos Sánchez, Ángel ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;1;Redondo Alcaide, Mª Isabel ;GP Popular;PP;ÚNICA;X;;;;isatielmes;;;
MAD;1;Rodríguez Palomino, Belén ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Rollán Ojeda, Pedro Manuel ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Sánchez Fernández, Alejandro ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Serrano Guio, José Tomás ;GP Popular;PP;ÚNICA;X;;;;serrano_guio;;;
MAD;0;Serrano Sánchez-Capuchino, Alfonso Carlos ;GP Popular;PP;ÚNICA;X;;;;SerranoAlfonso;;;
MAD;0;Soler-Espiauba Gallo, Juan ;GP Popular;PP;ÚNICA;X;;;;JuanSoler_;;;
MAD;1;Toledo Moreno, Lucila ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Van-Halen Acedo, Juan;GP Popular;PP;ÚNICA;X;;;;JVanHalen;;;
MAD;1;Andaluz Andaluz, Mª Isabel ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
MAD;1;Ardid Jiménez, Mª Isabel ;GP Socialista;PSOE;ÚNICA;X;;;;IsabelArdid;;;
MAD;1;Carazo Gómez, Mónica ;GP Socialista;PSOE;ÚNICA;X;;;;monicacarazo;;;
MAD;1;Casares Díaz, Mª Lucía Inmaculada ;GP Socialista;PSOE;ÚNICA;X;;;;LuciaICasares;;;
MAD;0;Cepeda García De León, José Carmelo ;GP Socialista;PSOE;ÚNICA;X;;;;Cepeda;;;
MAD;0;Cruz Torrijos, Diego ;GP Socialista;PSOE;ÚNICA;X;;;;DiegoCruz_;;;
MAD;1;Delgado Gómez, Carla ;GP Socialista;PSOE;ÚNICA;X;;;;CarlaAntonelli;;;
MAD;0;Franco Pardo, José Manuel ;GP Socialista;PSOE;ÚNICA;X;;;;jmfrancopardo;;;
MAD;0;Freire Campo, José Manuel ;GP Socialista;PSOE;ÚNICA;X;;;;josemfreire;;;
MAD;0;Gabilondo Pujol, Ángel;GP Socialista;PSOE;ÚNICA;X;;;;equipoGabilondo;;;
MAD;1;Gallizo Llamas, Mercedes ;GP Socialista;PSOE;ÚNICA;X;;;;GallizoMercedes;;;
MAD;0;García Sánchez, José Luis ;GP Socialista;PSOE;ÚNICA;X;;;;JLUISGARCIAS22;;;
MAD;0;García-Rojo Garrido, Pedro Pablo ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
MAD;0;Gómez Montoya, Rafael ;GP Socialista;PSOE;ÚNICA;X;;;;RafaGomezLGNS;;;
MAD;0;Gómez-Chamorro Torres, José Ángel ;GP Socialista;PSOE;ÚNICA;X;;;;Chamorro555;;;
MAD;1;González González, Mónica Silvana ;GP Socialista;PSOE;ÚNICA;X;;;;MonicaSilvanaG;;;
MAD;1;Leal Fernández, Mª Isaura ;GP Socialista;PSOE;ÚNICA;X;;;;isauralealf;;;
MAD;1;Llop Cuenca, Mª Pilar ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
MAD;0;Lobato Gandarias, Juan ;GP Socialista;PSOE;ÚNICA;X;;;;juanlobato_es;;;
MAD;1;López Ruiz, Mª Carmen;GP Socialista;PSOE;ÚNICA;X;Secretaria segunda mesa Asamblea;;;;;;
MAD;1;Manguan Valderrama, Eva Mª ;GP Socialista;PSOE;ÚNICA;X;;;;EvaManguan;;;
MAD;1;Maroto Illera, Mª Reyes ;GP Socialista;PSOE;ÚNICA;X;;;;MMAROTOVA;;;
MAD;1;Martínez Ten, Carmen ;GP Socialista;PSOE;ÚNICA;X;Portavoz GP;;;martinezten2015;;;
MAD;1;Mena Romero, Mª Carmen ;GP Socialista;PSOE;ÚNICA;X;;;;carmenmenar;;;
MAD;0;Moreno Navarro, Juan José ;GP Socialista;PSOE;ÚNICA;X;;;;jjmorenonavarro;;;
MAD;1;Moya Nieto, Mª Encarnación ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
MAD;0;Navarro Lanchas, Josefa ;GP Socialista;PSOE;ÚNICA;X;;;;JosefaNavarrol;;;
MAD;0;Nolla Estrada, Modesto ;GP Socialista;PSOE;ÚNICA;X;Vicepresidente Segundo Mesa Asamblea;;;ModestoNolla;;;
MAD;1;Pardo Ortiz, Josefa Dolores ;GP Socialista;PSOE;ÚNICA;X;;;;pepa_pardo;;;
MAD;0;Quintana Viar, José;GP Socialista;PSOE;ÚNICA;X;;;;;;;
MAD;0;Rico García-Hierro, Enrique ;GP Socialista;PSOE;ÚNICA;X;;;;EnriqueRGH;;;
MAD;0;Rodríguez García, Nicolás ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
MAD;1;Sánchez Acera, Pilar ;GP Socialista;PSOE;ÚNICA;X;;;;psacera;;;
MAD;0;Santín Fernández, Pedro ;GP Socialista;PSOE;ÚNICA;X;;;;_PedroSantin;;;
MAD;0;Segovia Noriega, Juan ;GP Socialista;PSOE;ÚNICA;X;;;;JuanSego82;;;
MAD;0;Vicente Viondi, Daniel ;GP Socialista;PSOE;ÚNICA;X;;;;Viondi;;;
MAD;0;Vinagre Alcázar, Agustín;GP Socialista;PSOE;ÚNICA;X;;;;agvinagre;;;
MAD;0;Ardanuy Pizarro, Miguel ;Podemos Madrid;Podemos;ÚNICA;X;;;;Miguel_Ardanuy;;;
MAD;1;Beirak Ulanosky, Jazmín ;Podemos Madrid;Podemos;ÚNICA;X;;;;jbeirak;;;
MAD;0;Camargo Fernández, Raúl ;Podemos Madrid;Podemos;ÚNICA;X;;;;camargoraul;;;
MAD;0;Candela Pokorna, Marco ;Podemos Madrid;Podemos;ÚNICA;X;;;;Marco_Candela_;;;
MAD;0;Delgado Orgaz, Emilio ;Podemos Madrid;Podemos;ÚNICA;X;;;;EmilioDelgadoOr;;;
MAD;1;Díaz Román, Laura ;Podemos Madrid;Podemos;ÚNICA;X;Vicepresidenta Tercera mesa Asamblea;;;;;;
MAD;0;Espinar Merino, Ramón ;Podemos Madrid;Podemos;ÚNICA;X;;;;RamonEspinar;;;
MAD;1;Espinosa De La Llave, María ;Podemos Madrid;Podemos;ÚNICA;X;;;;MEspinosa_;;;
MAD;0;Fernández Rubiño, Eduardo ;Podemos Madrid;Podemos;ÚNICA;X;;;;EduardoFRub;;;
MAD;1;Galiana Blanco, Beatriz;Podemos Madrid;Podemos;ÚNICA;X;;;;BeatrizGaliana;;;
MAD;1;García Gómez, Mónica ;Podemos Madrid;Podemos;ÚNICA;X;;;;Monicamox1;;;
MAD;1;Gimeno Reinoso, Beatriz ;Podemos Madrid;Podemos;ÚNICA;X;;;;BeatrizGimeno1;;;
MAD;0;Gutiérrez Benito, Eduardo ;Podemos Madrid;Podemos;ÚNICA;X;;;;eduardoguti_;;;
MAD;1;Huerta Bravo, Raquel ;Podemos Madrid;Podemos;ÚNICA;X;;;;raquelhb_;;;
MAD;0;López Hernández, Isidro ;Podemos Madrid;Podemos;ÚNICA;X;;;;suma_cero;;;
MAD;0;López Rodrigo, José Manuel ;Podemos Madrid;Podemos;ÚNICA;X;;;;JoseManuel_Lop;;;
MAD;0;Martínez Abarca, Hugo ;Podemos Madrid;Podemos;ÚNICA;X;;;;hugomabarca;;;
MAD;0;Morano González, Jacinto ;Podemos Madrid;Podemos;ÚNICA;X;;;;tito_morano;;;
MAD;0;Oliver Gómez De La Vega, Alberto ;Podemos Madrid;Podemos;ÚNICA;X;;;;alberoliver;;;
MAD;0;Ongil López, Miguel;Podemos Madrid;Podemos;ÚNICA;X;;;;Migs_Bru;;;
MAD;0;Padilla Estrada, Pablo ;Podemos Madrid;Podemos;ÚNICA;X;;;;MaesePads;;;
MAD;1;Ruiz-Huerta García De Viedma, Lorena ;Podemos Madrid;Podemos;ÚNICA;X;;;;LorenaRuiz_H;;;
MAD;1;San José Pérez, Carmen ;Podemos Madrid;Podemos;ÚNICA;X;;;;CarmenSanJose15;;;
MAD;0;Sánchez Pérez, Alejandro ;Podemos Madrid;Podemos;ÚNICA;X;;;;alesanper;;;
MAD;1;Serra Sánchez, Clara ;Podemos Madrid;Podemos;ÚNICA;X;;;;Clara_Serra_;;;
MAD;1;Serra Sánchez, Isabel ;Podemos Madrid;Podemos;ÚNICA;X;;;;isaserras;;;
MAD;1;Sevillano De Las Heras, Elena;Podemos Madrid;Podemos;ÚNICA;X;;;;elenasevi685;;;
MAD;0;Aguado Crespo, Ignacio Jesús ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;ignacioaguado;;;
MAD;1;Alonso Márquez, Mª Victoria Ángeles ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;;;;
MAD;1;González Pastor, Dolores ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;dgpastor;;;
MAD;1;Iglesia Vicente, Mª Teresa De La ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;maytediglesia;;;
MAD;0;Lara Casanova, Francisco ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;PacoLara_Cs;;;
MAD;1;Marbán De Frutos, Marta ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;marbandefrutos;;;
MAD;0;Marcos Arias, Tomás ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;tomasmarcos;;;
MAD;0;Megías Morales, Jesús Ricardo ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;RicardoMegias;;;
MAD;0;Núñez Sánchez, Roberto ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;RoberN8;;;
MAD;0;Reyero Zubiri, Alberto;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;albertoreyero;;;
MAD;1;Rodríguez Durán, Ana;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;AnaRguezDuran;;;
MAD;0;Rubio Ortiz, Juan Ramón;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;JuanRubioRuiz;;;
MAD;1;Ruiz Fernández, Esther;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;EstherRuizCs;;;
MAD;1;Solís Pérez, Susana;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;susanasolisp;;;
MAD;0;Trinidad Martós, Juan;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;Vicepresidente Primero Mesa;;;juantri73;;;
MAD;0;Veloso Lozano, Enrique;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;enri_vel;;;
MAD;0;Zafra Hernández, César;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;CsarZafra;;;
CAT;0;I. Sr. Oriol Amat i Salas;GP Junts pel sí;INDEPENDENT;BARCELONA;XI;;;;oriolamat;;;
CAT;0;I. Sr. Antoni Balasch i Parisi;GP Junts pel sí;PDeCAT;;XI;;;;AntoniBalasch;;;
CAT;1;I. Sra. Ramona Barrufet i Santacana;GP Junts pel sí;PDeCAT;LLEIDA;XI;Secretària 4ª Mesa Parlament;;;RamonaBarrufet;INACTIVO;;
CAT;1;H. Sra. Dolors Bassa i Coll;GP Junts pel sí;ERC;GIRONA;XI;;;;dolorsbassac;;;
CAT;0;Il·lm. Sr. Albert Batalla i Siscart;GP Junts pel sí;PDeCAT;;XI;;;;albertbatalla;;;
CAT;0;I. Sr. Albert Batet i Canadell;GP Junts pel sí;PDeCAT;;XI;;;;albertbatet;;;
CAT;0;I. Sr. Germà Bel Queralt;GP Junts pel sí;INDEPENDENT;TARRAGONA;XI;;;;gebelque;;;
CAT;0;I. Sr. David Bonvehí i Torras;GP Junts pel sí;PDeCAT;BARCELONA;XI;;;;davidbonvehi;;;
CAT;1;I. Sra. Montserrat Candini i Puig;GP Junts pel sí;PDeCAT;BARCELONA;XI;;;;montsecandini;;;
CAT;0;I. Sr. Joan Ramon Casals i Mata;GP Junts pel sí;PDeCAT;BARCELONA;XI;;;;jrcasals;;;
CAT;1;I. Sra. Magda Casamitjana i Aguilà;GP Junts pel sí;ERC;BARCELONA;XI;;;;magdacas;;;
CAT;0;I. Sr. Antoni Castellà i Clavé;GP Junts pel sí;PDeCAT;;XI;Portaveu PDeCAT;;;CastellaToni;;;
CAT;1;I. Sra. Carmina Castellví i Vallverdú;GP Junts pel sí;INDEPENDENT;LLEIDA;XI;;;;Carmina7;;;
CAT;1;I. Sra. Anna Caula i Paretas;GP Junts pel sí;ERC;GIRONA;XI;;;;anna_caula;;;
CAT;1;I. Sra. Violant Cervera i Gòdia;GP Junts pel sí;PDeCAT;;XI;;;;ViolantCervera;;;
CAT;0;I. Sr. Ferran Civit i Martí;GP Junts pel sí;ERC;TARRAGONA;XI;;;;CivitiMarti;;;
CAT;0;H. Sr. Antoni Comín Oliveres;GP Junts pel sí;ERC;;XI;;;;toni_comin;;;
CAT;0;I. Sr. Lluís M. Corominas i Díaz;GP Junts pel sí;;BARCELONA;XI;;;;lluis_corominas;;;
CAT;0;I. Sr. Jordi Cuminal i Roquet;GP Junts pel sí;PDeCAT;;XI;;;;jordicuminal;;;
CAT;1;I. Sra. Adriana Delgado i Herreros;GP Junts pel sí;ERC;BARCELONA;XI;;;;adrianadelgadoh;;;
CAT;1;I. Sra. Anna Figueras i Ibàñez;GP Junts pel sí;PDeCAT;;XI;;;;AannaFigueras;;;
CAT;1;I. Sra. Natàlia Figueras i Pagès;GP Junts pel sí;PDeCAT;GIRONA;XI;;;;NataliaFigueras;;;
CAT;1;M. H. Sra. Carme Forcadell i Lluís;GP Junts pel sí;INDEPENDENT;BARCELONA;XI;Presidenta Parlament;;;ForcadellCarme;;;
CAT;0;I. Sr. Josep Maria Forné i Febrer;GP Junts pel sí;INDEPENDENT;LLEIDA;XI;;;;;;;
CAT;1;Il·lma. Sra. Montserrat Fornells i Solé;GP Junts pel sí;ERC;LLEIDA;XI;;;;mfornells;;;
CAT;0;I. Sr. Gerard Gómez del Moral i Fuster;GP Junts pel sí;ERC;BARCELONA;XI;;;;gerardgomezf;;;
CAT;0;H. Sr. Germà Gordó i Aubarell;NO ADSRIT;INDEPENDENT;;XI;;;;germa_gordo;;;
CAT;0;Il·lm. Sr. Lluís Guinó i Subirós;GP Junts pel sí;PDeCAT;GIRONA;XI;Vicepresident 1ª Parlament;;;lluisguino;;;
CAT;0;I. Sr. Chakir el Homrani Lesfar;GP Junts pel sí;ERC;BARCELONA;XI;;;;ChakirelHomrani;;;
CAT;0;H. Sr. Oriol Junqueras i Vies;GP Junts pel sí;ERC;;XI;;;;junqueras;;;
CAT;1;I. Sra. M. Assumpció Laïlla i Jou;GP Junts pel sí;PDeCAT;;XI;;;;titonlailla;;;
CAT;0;I. Sr. Lluís Llach i Grande;GP Junts pel sí;INDEPENDENT;GIRONA;XI;;;;lluis_llach;;;
CAT;1;I. Sra. Neus Lloveras i Massana;GP Junts pel sí;PDeCAT;BARCELONA;XI;;;;neuslloveras;;;
CAT;0;I. Sr. Fabian Mohedano Morales;GP Junts pel sí;AVANCEM;BARCELONA;XI;;;;fabianmohedano;;;
CAT;0;I. Sr. Jordi Munell i Garcia;GP Junts pel sí;PDeCAT;GIRONA;XI;;;;jordimunell;;;
CAT;0;I. Sr. Jordi Orobitg i Solé;GP Junts pel sí;ERC;GIRONA;XI;;;;Jordi_Orobitg;;;
CAT;1;I. Sra. Montserrat Palau Vergés;GP Junts pel sí;INDEPENDENT;TARRAGONA;XI;;;;montsepalau;;;
CAT;1;I. Sra. Marta Pascal i Capdevila;GP Junts pel sí;PDeCAT;BARCELONA;XI;;;;martapascal;;;
CAT;1;I. Sra. Àngels Ponsa i Roca;GP Junts pel sí;PDeCAT;;XI;;;;angelsponsa;;;
CAT;0;I. Sr. Carles Prats i Cot;GP Junts pel sí;PDeCAT;TARRAGONA;XI;;;;carlespratscot;;;
CAT;0;M. H. Sr. Carles Puigdemont i Casamajó;GP Junts pel sí;PDeCAT;;XI;;;;KRLS;;;
CAT;0;I. Sr. Eduardo Reyes i Pino;GP Junts pel sí;INDEPENDENT;BARCELONA;XI;;;;eduardorepi;;;
CAT;1;H. Sra. Irene Rigau i Oliver;GP Junts pel sí;PDeCAT;BARCELONA;XI;;;;irenerigau;INACTIVO;;
CAT;0;Il·lm. Sr. David Rodríguez i González;GP Junts pel sí;ERC;LLEIDA;XI;;;;david_drg;;;
CAT;1;I. Sra. Meritxell Roigé i Pedrola;GP Junts pel sí;PDeCAT;;XI;;;;meritxellroige;;;
CAT;0;H. Sr. Raül Romeva i Rueda;GP Junts pel sí;INDEPENDENT;BARCELONA;XI;;;;raulromeva;;;
CAT;1;I. Sra. Maria Rosell i Medall;GP Junts pel sí;PDeCAT;BARCELONA;XI;;;;;;;
CAT;1;I. Sra. Marta Rovira i Vergés;GP Junts pel sí;ERC;BARCELONA;XI;;;;martarovira;;;
CAT;1;Il·lma. Sra. Maria Dolors Rovirola i Coromí;GP Junts pel sí;PDeCAT;;XI;;;;rovirola_dolors;;;
CAT;0;H. Sr. Josep Rull i Andreu;GP Junts pel sí;PDeCAT;;XI;;;;joseprull;;;
CAT;0;Il·lm. Sr. Sergi Sabrià i Benito;GP Junts pel sí;ERC;;XI;Portaveu ERC;;;sergisabria;;;
CAT;0;I. Sr. Marc Sanglas i Alcantarilla;GP Junts pel sí;ERC;;XI;;;;msanglas;;;
CAT;0;I. Sr. Jordi-Miquel Sendra Vellvè;GP Junts pel sí;PDeCAT;TARRAGONA;XI;;;;jordisendra;;;
CAT;1;I. Sra. Maria Senserrich i Guitart;GP Junts pel sí;PDeCAT;;XI;;;;msenserrich;;;
CAT;1;H. Sra. Anna Simó i Castelló;GP Junts pel sí;ERC;BARCELONA;XI;Secretària 1ª Mesa Parlament;;;AnnaSimo;;;
CAT;0;Il·lm. Sr. Bernat Solé i Barril;GP Junts pel sí;ERC;LLEIDA;XI;;;;bernatsole;;;
CAT;0;I. Sr. Marc Solsona i Aixalà;GP Junts pel sí;PDeCAT;LLEIDA;XI;;;;solsona_marc;;;
CAT;0;Il·lm. Sr. Roger Torrent i Ramió;GP Junts pel sí;ERC;GIRONA;XI;;;;rogertorrent11;;;
CAT;0;H. Sr. Jordi Turull i Negre;GP Junts pel sí;PDeCAT;;XI;;;;jorditurull;;;
CAT;1;I. Sra. Teresa Vallverdú Albornà;GP Junts pel sí;ERC;;XI;;;;teresavallverdu;;;
CAT;1;I. Sra. Alba Vergés i Bosch;GP Junts pel sí;ERC;;XI;;;;albaverges;;;
CAT;1;I. Sra. Montserrat Vilella Cuadrada;GP Junts pel sí;PDeCAT;TARRAGONA;XI;;;;montsevilellac;;;
CAT;0;I. Sr. Matías Alonso Ruiz;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;;XI;;;;;;;
CAT;1;I. Sra. Inés Arrimadas García;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;InesArrimadas;;;
CAT;0;I. Sr. Martín Eusebio Barra López;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;_martinbarra;;;
CAT;1;I. Sra. Susana Beltrán García;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;susanabeltranga;;;
CAT;1;I. Sra. Marina Bravo Sobrino;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;MarinaBS_Cs;;;
CAT;1;I. Sra. Noemí de la Calle Sifré;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;Noemi_delaCalle;;;
CAT;0;I. Sr. Carlos Carrizosa Torres;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;Portaveu del Partit;;;carrizosacarlos;;;
CAT;0;I. Sr. Jean Castel Sucarrat;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;GIRONA;XI;;;;GironaJean;;;
CAT;0;I. Sr. Francisco Javier Domínguez Serrano;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;TARRAGONA;XI;;;;fjdominguez8;;;
CAT;0;I. Sr. José María Espejo-Saavedra Conesa;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;Vicepresident segon Parlament;;;jmespejosaav;;;
CAT;0;I. Sr. Antonio Espinosa Cerrato;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;aespice;;;
CAT;0;I. Sr. Joan García González;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;joansabadell;;;
CAT;0;I. Sr. David Mejía Ayra;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;davidmejiayra;;;
CAT;0;I. Sr. Fernando de Páramo Gómez;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;ferdeparamo;;;
CAT;0;I. Sr. Javier Rivas Escamilla;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;LLEIDA;XI;;;;;;;
CAT;1;I. Sra. Carmen de Rivera i Pla;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;;XI;;;;;;;
CAT;1;I. Sra. Lorena Roldán Suárez;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;TARRAGONA;XI;;;;Lroldansu;;;
CAT;0;I. Sr. Alfonso Sánchez Fisac;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;GIRONA;XI;;;;asancfisac;;;
CAT;0;I. Sr. Carlos Sánchez Martín;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;TARRAGONA;XI;;;;CarlosSM_Cs;;;
CAT;0;I. Sr. Sergio Sanz Jiménez;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;sergiobarcelona;;;
CAT;1;I. Sra. Sonia Sierra Infante;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;SoniaSierra02;;;
CAT;0;I. Sr. Jorge Soler González;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;LLEIDA;XI;;;;jsolerCs;;;
CAT;1;I. Sra. Elisabeth Valencia Mimbrero;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;evalmim;;;
CAT;1;I. Sra. María Francisca Valle Fuentes;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;;;;
CAT;1;I. Sra. Laura Vílchez Sánchez;GP Ciutadans;Ciutadans-Partido de la Ciudadanía;BARCELONA;XI;;;;LauraVilchezS;;;
CAT;0;I. Sr. Rafel Bruguera Batalla;GP Socialista;PSC-PSOE;GIRONA;XI;;;;rafelbruguera;;;
CAT;0;I. Sr. Carles Castillo Rosique;GP Socialista;PSC-PSOE;TARRAGONA;XI;;;;CarlesTgna;;;
CAT;1;I. Sra. Assumpta Escarp Gibert;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;aescarp;;;
CAT;0;I. Sr. Pol Gibert Horcas;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;polgibert;;;
CAT;1;I. Sra. Eva Granados Galiano;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;Eva_Granados;;;
CAT;1;I. Sra. Rosa Maria Ibarra Ollé;GP Socialista;PSC-PSOE;TARRAGONA;XI;;;;ROSA_M_IBARRA;;;
CAT;0;I. Sr. Miquel Iceta i Llorens;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;miqueliceta;;;
CAT;1;I. Sra. Eva Martínez Morales;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;eva_martinezmor;;;
CAT;0;I. Sr. Raúl Moreno Montaña;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;raulmorenom;;;
CAT;1;I. Sra. Marta Moreta Rovira;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;MartaMoreta;;;
CAT;1;I. Sra. Esther Niubó Cidoncha;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;eniubo;;;
CAT;0;I. Sr. Òscar Ordeig i Molist;GP Socialista;PSC-PSOE;;XI;;;;oscarordeig;;;
CAT;0;I. Sr. Ferran Pedret i Santos;GP Socialista;PSC-PSOE;;XI;;;;FerranPedret;;;
CAT;0;I. Sr. David Pérez Ibáñez;GP Socialista;PSC-PSOE;BARCELONA;XI;;;;davidpsc;;;
CAT;1;I. Sra. Alícia Romero Llano;GP Socialista;PSC-PSOE;;XI;;;;aliciarll;;;
CAT;0;I. Sr. Jordi Terrades i Santacreu;GP Socialista;PSC-PSOE;;XI;;;;jterrades;;;
