Male predictors:
word : coef : odds_ratio
barrio : 1.5260469973002102 : 4.599957191702932
asistir : 1.5205944832308531 : 4.574944114444246
comentario : 1.5039012842614554 : 4.49920756346436
león : 1.5019652677701127 : 4.490505449859319
canario : 1.4808404950670526 : 4.39663948218682
negociación : 1.4679063647629866 : 4.340138954488339
nota : 1.4582261105393486 : 4.298328002862361
arreglar : 1.3890979296532848 : 4.0112300088276145
pago : 1.332186022001353 : 3.789317872409932
tipo : 1.3272085380411303 : 3.770503466526016
30 : 1.2707752833424408 : 3.5636143024592197
antes_de : 1.2457514709035704 : 3.475545589632134
leonés : 1.2440749777862745 : 3.4697237428788616
gastronomía : 1.2102563750196593 : 3.3543445124613394
pena : 1.2084288640894914 : 3.3482200092041388
impulsar : 1.2024197464803141 : 3.328160491748767
en_lugar_de : 1.1822693579701733 : 3.2617679292577244
almansa : 1.1806232378635677 : 3.256403084287311
reacción : 1.1751565442713026 : 3.2386498962446897
👍 : 1.1652432934581005 : 3.2067029581571913
incertidumbre : 1.1630373194967862 : 3.199636851618838
actualmente : 1.1438307090268711 : 3.138769075927896
pobreza : 1.1241785370641577 : 3.077687603925025
sorprender : 1.1202195926005183 : 3.0655272964981513
lumbrera : 1.1196680003804982 : 3.063836841754847
jerez : 1.1167049811201302 : 3.0547720703602184
división : 1.1125259733768504 : 3.042032791536656
naranja : 1.1117614488015901 : 3.0397079715130366
estatuto : 1.1105449502701874 : 3.036012419502339
👌 : 1.105633460475396 : 3.0211376340672187
cartel : 1.0727816370996381 : 2.9235003171005145
cántabro : 1.0655586286994514 : 2.9024599286795563
puente : 1.064987502171615 : 2.900802730098387
ámbito : 1.0637822116293765 : 2.8973085261913707
❄ : 1.0604406296116058 : 2.8876430900379617
quejar : 1.0596958222456132 : 2.8854931529380257
😀 : 1.0593144195130977 : 2.8843928278116837
admirar : 1.051759535368146 : 2.862683682464359
a_partir_de : 1.0480818262411795 : 2.852174900524117
desaparecer : 1.0474591956487018 : 2.8503996019109192
indicador : 1.0443393741948024 : 2.8415207215431426
arma : 1.0393245992042817 : 2.8273068040801896
